Name,Contract No,PCR No,Content Type,Document ID,Livelink ID,Original Path,Item Type,Path
RFI_Response_415908_89_External_APPROVED_28_Sep_2015_17-24.pdf,415908,89,Change Requests,FUXEN4K22T6K-31-66066,193082865,\SCM-CCA-RFI\00273|415908|370\00 Internal Documents\RFI_Response_415908_89_External_APPROVED_28_Sep_2015_17-24.pdf,Item,corporate/SCMCCA/Change Requests/00273_415908_370/00 Internal Documents
415908_89 CLO-415908-BF-RFI-079.pdf,415908,89,Change Requests,FUXEN4K22T6K-31-66067,192945578,\SCM-CCA-RFI\00273|415908|370\415908_89 CLO-415908-BF-RFI-079.pdf,Item,corporate/SCMCCA/Change Requests/00273_415908_370
415908_89 CLO-415908-BF-RFI-079.xlsx,415908,89,Change Requests,FUXEN4K22T6K-31-66068,192945989,\SCM-CCA-RFI\00273|415908|370\415908_89 CLO-415908-BF-RFI-079.xlsx,Item,corporate/SCMCCA/Change Requests/00273_415908_370
00273_414532_5715,414532,53,Change Requests Document Set,FUXEN4K22T6K-31-66069,192951162,\SCM-CCA-RFI\00273|414532|5715,Folder,corporate/SCMCCA/Change Requests
414532_TA-P14-014-RF-ME-237.xlsx,414532,53,Change Requests,FUXEN4K22T6K-31-66070,192954823,\SCM-CCA-RFI\00273|414532|5715\414532_TA-P14-014-RF-ME-237.xlsx,Item,corporate/SCMCCA/Change Requests/00273_414532_5715
RFI_Response_414532_53_Internal_APPROVED_23_Sep_2015_12-47.pdf,414532,53,Change Requests,FUXEN4K22T6K-31-66072,192986398,\SCM-CCA-RFI\00273|414532|5715\00 Internal Documents\RFI_Response_414532_53_Internal_APPROVED_23_Sep_2015_12-47.pdf,Item,corporate/SCMCCA/Change Requests/00273_414532_5715/00 Internal Documents
414532_53 ME-237.pdf,414532,53,Change Requests,FUXEN4K22T6K-31-66073,192999554,\SCM-CCA-RFI\00273|414532|5715\414532_53 ME-237.pdf,Item,corporate/SCMCCA/Change Requests/00273_414532_5715
00273_414746_5718,414746,5,Change Requests Document Set,FUXEN4K22T6K-31-66074,192960416,\SCM-CCA-RFI\00273|414746|5718,Folder,corporate/SCMCCA/Change Requests
414746_5 553.pdf,414746,5,Change Requests,FUXEN4K22T6K-31-66075,192954178,\SCM-CCA-RFI\00273|414746|5718\414746_5 553.pdf,Item,corporate/SCMCCA/Change Requests/00273_414746_5718
RFI_Response_414746_5_Internal_APPROVED_27_Sep_2015_06-50.pdf,414746,5,Change Requests,FUXEN4K22T6K-31-66077,193049935,\SCM-CCA-RFI\00273|414746|5718\00 Internal Documents\RFI_Response_414746_5_Internal_APPROVED_27_Sep_2015_06-50.pdf,Item,corporate/SCMCCA/Change Requests/00273_414746_5718/00 Internal Documents
414746_553.xlsx,414746,5,Change Requests,FUXEN4K22T6K-31-66078,192956898,\SCM-CCA-RFI\00273|414746|5718\414746_553.xlsx,Item,corporate/SCMCCA/Change Requests/00273_414746_5718
00273_408522_185,408522,103,Change Requests Document Set,FUXEN4K22T6K-31-66079,192971495,\SCM-CCA-RFI\00273|408522|185,Folder,corporate/SCMCCA/Change Requests
408522_103 3349-168B.xlsx,408522,103,Change Requests,FUXEN4K22T6K-31-66080,192974213,\SCM-CCA-RFI\00273|408522|185\408522_103 3349-168B.xlsx,Item,corporate/SCMCCA/Change Requests/00273_408522_185
RFI_Response_408522_103_Internal_REJECTED_24_Sep_2015_15-16.pdf,408522,103,Change Requests,FUXEN4K22T6K-31-66082,193011890,\SCM-CCA-RFI\00273|408522|185\00 Internal Docs\RFI_Response_408522_103_Internal_REJECTED_24_Sep_2015_15-16.pdf,Item,corporate/SCMCCA/Change Requests/00273_408522_185/00 Internal Docs
408522_103_3349-168B.pdf,408522,103,Change Requests,FUXEN4K22T6K-31-66083,193035631,\SCM-CCA-RFI\00273|408522|185\408522_103_3349-168B.pdf,Item,corporate/SCMCCA/Change Requests/00273_408522_185
00273_414307_338,414307,19,Change Requests Document Set,FUXEN4K22T6K-31-66084,192972673,\SCM-CCA-RFI\00273|414307|338,Folder,corporate/SCMCCA/Change Requests
414307_BBS438 RFI020.xlsx,414307,19,Change Requests,FUXEN4K22T6K-31-66085,192972476,\SCM-CCA-RFI\00273|414307|338\414307_BBS438 RFI020.xlsx,Item,corporate/SCMCCA/Change Requests/00273_414307_338
RFI_Response_414307_19_Internal_APPROVED_24_Sep_2015_06-27.pdf,414307,19,Change Requests,FUXEN4K22T6K-31-66087,192996740,\SCM-CCA-RFI\00273|414307|338\00 Internal Documents\RFI_Response_414307_19_Internal_APPROVED_24_Sep_2015_06-27.pdf,Item,corporate/SCMCCA/Change Requests/00273_414307_338/00 Internal Documents
414307_19_BBS438 RFI 020.pdf,414307,19,Change Requests,FUXEN4K22T6K-31-66088,193002715,\SCM-CCA-RFI\00273|414307|338\414307_19_BBS438 RFI 020.pdf,Item,corporate/SCMCCA/Change Requests/00273_414307_338
00273_413929_5728,413929,6,Change Requests Document Set,FUXEN4K22T6K-31-66089,192978340,\SCM-CCA-RFI\00273|413929|5728,Folder,corporate/SCMCCA/Change Requests
413929_557.xlsx,413929,6,Change Requests,FUXEN4K22T6K-31-66090,192966265,\SCM-CCA-RFI\00273|413929|5728\413929_557.xlsx,Item,corporate/SCMCCA/Change Requests/00273_413929_5728
413929_6 557.pdf,413929,6,Change Requests,FUXEN4K22T6K-31-66091,192977134,\SCM-CCA-RFI\00273|413929|5728\413929_6 557.pdf,Item,corporate/SCMCCA/Change Requests/00273_413929_5728
RFI_Response_413929_6_Internal_APPROVED_27_Sep_2015_06-51.pdf,413929,6,Change Requests,FUXEN4K22T6K-31-66093,193041211,\SCM-CCA-RFI\00273|413929|5728\00 Internal Documents\RFI_Response_413929_6_Internal_APPROVED_27_Sep_2015_06-51.pdf,Item,corporate/SCMCCA/Change Requests/00273_413929_5728/00 Internal Documents
00273_414532_5730,414532,54,Change Requests Document Set,FUXEN4K22T6K-31-66094,192987056,\SCM-CCA-RFI\00273|414532|5730,Folder,corporate/SCMCCA/Change Requests
